f	x(1)	x(2)	x(3)	x(4)	x(5)	x(6)	x(7)	x(8)	x(9)	
2.978250e-01	8.025677e+00	6.004730e+00	5.061096e+00	5.706195e-01	5.849453e+00	2.628218e+00	1.319250e+00	1.039018e-01	8.311737e+00	
4.075465e-01	2.785040e+00	5.491214e+00	6.603055e+00	2.304900e-01	6.275520e+00	2.239444e+00	6.332225e+00	9.473424e-02	7.348920e+00	
4.929772e-01	5.422171e+00	1.120105e+00	3.635814e+00	5.148622e-01	5.759613e+00	5.811996e+00	2.374734e+00	4.177937e-01	6.592217e+00	
5.107285e-01	3.975292e+00	3.294484e+00	5.903006e+00	3.839576e-01	7.047294e+00	6.596875e+00	6.271812e+00	2.225459e-01	8.635761e+00	
6.110052e-01	3.507581e+00	2.146140e+00	4.289014e+00	1.738967e-01	6.262389e+00	3.244046e+00	2.061943e+00	2.295424e-01	4.733479e+00	
9.381428e-01	6.492426e+00	6.108872e-02	4.209727e+00	1.127111e+00	9.621500e+00	3.515139e+00	2.566014e+00	1.119179e+00	6.568558e+00	
9.837604e-01	7.787699e+00	1.146221e-01	7.883436e+00	3.947481e+00	8.796281e+00	3.409456e+00	3.648856e+00	4.529053e-01	4.693814e+00	
9.837682e-01	5.415383e+00	1.209990e-02	8.042139e+00	8.420271e+00	8.090929e+00	4.347462e+00	5.689088e+00	4.565525e+00	4.988362e+00	
9.838500e-01	6.826048e+00	3.871903e-02	8.235099e+00	8.221209e+00	5.080830e+00	5.070970e+00	5.883334e+00	2.297479e+00	7.932400e+00	
9.839598e-01	7.873137e+00	1.727424e+00	4.593707e+00	7.015502e+00	5.090146e+00	9.250027e+00	4.642463e+00	5.038874e-02	8.225387e+00	
9.847604e-01	4.094047e+00	9.919262e+00	7.894314e+00	4.828125e+00	8.695570e+00	3.354438e+00	3.513993e+00	5.249472e-03	5.133623e+00	
1.453964e+00	6.089834e+00	7.434926e+00	6.660580e+00	2.803417e+00	9.394420e+00	4.781246e+00	6.111420e+00	2.508059e-02	6.538167e+00	
2.176961e+00	1.667317e+00	1.384423e-01	6.740605e+00	9.332578e-01	9.896998e+00	9.926418e+00	3.374936e+00	3.437983e+00	2.727603e+00	
2.225737e+00	6.089063e+00	6.738677e+00	8.024022e+00	3.739119e+00	8.169119e+00	6.349174e+00	4.697628e+00	3.207918e-02	5.488387e+00	
2.616701e+00	2.544436e-02	1.011771e-01	8.483156e+00	9.219738e+00	7.092200e+00	3.710293e+00	6.147545e+00	2.055304e+00	4.778494e+00	
2.663383e+00	3.805996e+00	5.724040e+00	5.573602e+00	1.770667e+00	6.067787e+00	3.535677e+00	7.470303e+00	7.222421e-02	7.982909e+00	
2.864851e+00	4.868313e+00	4.441828e+00	6.926168e+00	5.842194e-01	8.672821e+00	4.883834e+00	5.990977e+00	3.274369e-01	6.762608e+00	
6.986651e+00	6.597308e+00	4.023077e+00	4.109687e+00	8.660667e+00	5.831970e+00	5.921164e+00	4.544620e+00	1.358477e-01	7.447001e+00	
1.083580e+01	4.214791e+00	6.654974e+00	6.779238e+00	2.628467e+00	5.524969e+00	1.856173e+00	2.815604e+00	9.130701e-02	5.856360e+00	
