Time	NEval	Generation	f	S4	S0	J1_Vmax	J1_n	J1_K	J2_J2_k	J3_J3_k	J0_J0_k	compart	
9.092053e-01	5.000000e+01	1.000000e+00	1.287216e-02	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
1.707180e+00	7.500000e+01	2.000000e+00	1.287216e-02	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
2.194424e+00	1.000000e+02	3.000000e+00	1.287216e-02	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
2.652839e+00	1.250000e+02	4.000000e+00	1.287216e-02	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
3.161604e+00	1.500000e+02	5.000000e+00	1.287216e-02	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
3.674475e+00	1.750000e+02	6.000000e+00	1.287216e-02	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
4.136824e+00	2.000000e+02	7.000000e+00	1.287216e-02	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
4.603765e+00	2.250000e+02	8.000000e+00	1.287216e-02	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
5.110206e+00	2.500000e+02	9.000000e+00	1.287216e-02	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
5.614129e+00	2.750000e+02	1.000000e+01	1.287216e-02	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
6.113806e+00	3.000000e+02	1.100000e+01	1.287216e-02	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
6.607813e+00	3.250000e+02	1.200000e+01	1.287216e-02	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
7.121029e+00	3.500000e+02	1.300000e+01	1.287216e-02	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
7.616706e+00	3.750000e+02	1.400000e+01	1.287216e-02	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
8.099807e+00	4.000000e+02	1.500000e+01	1.287216e-02	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
8.602440e+00	4.250000e+02	1.600000e+01	1.287216e-02	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
9.096784e+00	4.500000e+02	1.700000e+01	1.287216e-02	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
9.609431e+00	4.750000e+02	1.800000e+01	1.287216e-02	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
1.009225e+01	5.000000e+02	1.900000e+01	1.287216e-02	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
1.058362e+01	5.250000e+02	2.000000e+01	1.287216e-02	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
1.106915e+01	5.500000e+02	2.100000e+01	1.287216e-02	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
1.154654e+01	5.750000e+02	2.200000e+01	1.287216e-02	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
1.203088e+01	6.000000e+02	2.300000e+01	1.287216e-02	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
1.251061e+01	6.250000e+02	2.400000e+01	1.287216e-02	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
1.300619e+01	6.500000e+02	2.500000e+01	1.287216e-02	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
1.348752e+01	6.750000e+02	2.600000e+01	1.287216e-02	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
1.396260e+01	7.000000e+02	2.700000e+01	1.287216e-02	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
1.443117e+01	7.250000e+02	2.800000e+01	1.287216e-02	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
1.490531e+01	7.500000e+02	2.900000e+01	1.287216e-02	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
