f	x(1)	x(2)	x(3)	x(4)	x(5)	x(6)	x(7)	
1.069852e-05	4.001946e-01	2.546533e-01	1.545166e+00	1.060197e+00	1.534733e+00	1.025633e+00	1.016460e+00	
2.225359e-05	4.510660e-01	2.181041e-01	1.517456e+00	1.184771e+00	1.565125e+00	1.179248e+00	1.023828e+00	
2.326525e-05	4.309420e-01	2.411163e-01	1.357946e+00	1.178683e+00	1.480613e+00	1.253125e+00	9.082943e-01	
3.317774e-05	3.776591e-01	2.577446e-01	1.334452e+00	1.102468e+00	1.451467e+00	1.171027e+00	9.652391e-01	
3.420870e-05	4.048790e-01	2.524371e-01	1.334300e+00	1.155656e+00	1.662171e+00	1.425846e+00	7.916453e-01	
3.761084e-05	4.070217e-01	2.366564e-01	1.592967e+00	1.080025e+00	1.575287e+00	1.062621e+00	1.077232e+00	
4.430716e-05	4.041411e-01	2.539731e-01	1.444307e+00	1.127134e+00	1.714004e+00	1.329599e+00	8.462460e-01	
4.711007e-05	4.326021e-01	2.454803e-01	1.359734e+00	9.899406e-01	1.466447e+00	1.031556e+00	8.951372e-01	
5.582813e-05	4.060021e-01	2.425651e-01	1.468792e+00	1.182738e+00	1.602360e+00	1.238332e+00	9.872113e-01	
5.618554e-05	4.042454e-01	2.394549e-01	1.367930e+00	1.037725e+00	1.693134e+00	1.300651e+00	8.534330e-01	
5.856964e-05	4.749460e-01	2.137618e-01	1.268245e+00	1.016896e+00	1.442271e+00	1.090365e+00	8.969438e-01	
6.014070e-05	4.247756e-01	2.435382e-01	1.569086e+00	1.020428e+00	1.548752e+00	9.931769e-01	9.930630e-01	
6.478522e-05	3.573807e-01	2.777517e-01	1.401940e+00	8.984412e-01	1.653761e+00	1.029070e+00	8.934666e-01	
6.563081e-05	4.599797e-01	2.292777e-01	1.555840e+00	1.122670e+00	1.442590e+00	9.861830e-01	1.052423e+00	
7.384029e-05	3.617371e-01	2.735218e-01	1.238449e+00	1.028240e+00	1.547699e+00	1.243994e+00	8.488931e-01	
7.417851e-05	4.205750e-01	2.394387e-01	1.478460e+00	9.295197e-01	1.387243e+00	8.141895e-01	1.124140e+00	
