Time	NEval	Generation	f	S4	S0	J1_Vmax	J1_n	J1_K	J2_J2_k	J3_J3_k	J0_J0_k	compart	
7.047962e-01	5.000000e+01	1.000000e+00	1.138553e+00	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
1.422349e+00	7.500000e+01	2.000000e+00	1.138553e+00	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
1.808970e+00	1.000000e+02	3.000000e+00	1.138553e+00	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
2.224513e+00	1.250000e+02	4.000000e+00	1.138553e+00	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
2.692327e+00	1.500000e+02	5.000000e+00	1.138553e+00	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
3.010693e+00	1.750000e+02	6.000000e+00	1.138553e+00	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
3.379840e+00	2.000000e+02	7.000000e+00	1.138553e+00	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
3.695762e+00	2.250000e+02	8.000000e+00	1.138553e+00	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
4.106074e+00	2.500000e+02	9.000000e+00	1.138553e+00	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
4.496091e+00	2.750000e+02	1.000000e+01	1.138553e+00	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
4.842949e+00	3.000000e+02	1.100000e+01	1.138553e+00	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
5.168581e+00	3.250000e+02	1.200000e+01	1.138553e+00	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
5.626792e+00	3.500000e+02	1.300000e+01	1.138553e+00	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
6.066665e+00	3.750000e+02	1.400000e+01	1.138553e+00	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
6.332938e+00	4.000000e+02	1.500000e+01	2.978250e-01	8.025677e+00	6.004730e+00	5.061096e+00	5.706195e-01	5.849453e+00	2.628218e+00	1.319250e+00	1.039018e-01	8.311737e+00	
6.829393e+00	4.250000e+02	1.600000e+01	2.978250e-01	8.025677e+00	6.004730e+00	5.061096e+00	5.706195e-01	5.849453e+00	2.628218e+00	1.319250e+00	1.039018e-01	8.311737e+00	
7.212621e+00	4.500000e+02	1.700000e+01	2.978250e-01	8.025677e+00	6.004730e+00	5.061096e+00	5.706195e-01	5.849453e+00	2.628218e+00	1.319250e+00	1.039018e-01	8.311737e+00	
7.613136e+00	4.750000e+02	1.800000e+01	2.978250e-01	8.025677e+00	6.004730e+00	5.061096e+00	5.706195e-01	5.849453e+00	2.628218e+00	1.319250e+00	1.039018e-01	8.311737e+00	
9.016352e+00	5.000000e+02	1.900000e+01	2.978250e-01	8.025677e+00	6.004730e+00	5.061096e+00	5.706195e-01	5.849453e+00	2.628218e+00	1.319250e+00	1.039018e-01	8.311737e+00	
9.377353e+00	5.250000e+02	2.000000e+01	2.978250e-01	8.025677e+00	6.004730e+00	5.061096e+00	5.706195e-01	5.849453e+00	2.628218e+00	1.319250e+00	1.039018e-01	8.311737e+00	
9.770764e+00	5.500000e+02	2.100000e+01	2.978250e-01	8.025677e+00	6.004730e+00	5.061096e+00	5.706195e-01	5.849453e+00	2.628218e+00	1.319250e+00	1.039018e-01	8.311737e+00	
1.021768e+01	5.750000e+02	2.200000e+01	2.978250e-01	8.025677e+00	6.004730e+00	5.061096e+00	5.706195e-01	5.849453e+00	2.628218e+00	1.319250e+00	1.039018e-01	8.311737e+00	
1.064411e+01	6.000000e+02	2.300000e+01	2.978250e-01	8.025677e+00	6.004730e+00	5.061096e+00	5.706195e-01	5.849453e+00	2.628218e+00	1.319250e+00	1.039018e-01	8.311737e+00	
1.105472e+01	6.250000e+02	2.400000e+01	2.978250e-01	8.025677e+00	6.004730e+00	5.061096e+00	5.706195e-01	5.849453e+00	2.628218e+00	1.319250e+00	1.039018e-01	8.311737e+00	
1.139109e+01	6.500000e+02	2.500000e+01	2.978250e-01	8.025677e+00	6.004730e+00	5.061096e+00	5.706195e-01	5.849453e+00	2.628218e+00	1.319250e+00	1.039018e-01	8.311737e+00	
1.177768e+01	6.750000e+02	2.600000e+01	2.978250e-01	8.025677e+00	6.004730e+00	5.061096e+00	5.706195e-01	5.849453e+00	2.628218e+00	1.319250e+00	1.039018e-01	8.311737e+00	
1.218954e+01	7.000000e+02	2.700000e+01	2.978250e-01	8.025677e+00	6.004730e+00	5.061096e+00	5.706195e-01	5.849453e+00	2.628218e+00	1.319250e+00	1.039018e-01	8.311737e+00	
1.256557e+01	7.250000e+02	2.800000e+01	2.978250e-01	8.025677e+00	6.004730e+00	5.061096e+00	5.706195e-01	5.849453e+00	2.628218e+00	1.319250e+00	1.039018e-01	8.311737e+00	
1.298775e+01	7.500000e+02	2.900000e+01	2.978250e-01	8.025677e+00	6.004730e+00	5.061096e+00	5.706195e-01	5.849453e+00	2.628218e+00	1.319250e+00	1.039018e-01	8.311737e+00	
1.327791e+01	7.750000e+02	3.000000e+01	2.978250e-01	8.025677e+00	6.004730e+00	5.061096e+00	5.706195e-01	5.849453e+00	2.628218e+00	1.319250e+00	1.039018e-01	8.311737e+00	
1.371376e+01	8.000000e+02	3.100000e+01	2.978250e-01	8.025677e+00	6.004730e+00	5.061096e+00	5.706195e-01	5.849453e+00	2.628218e+00	1.319250e+00	1.039018e-01	8.311737e+00	
1.405739e+01	8.250000e+02	3.200000e+01	2.978250e-01	8.025677e+00	6.004730e+00	5.061096e+00	5.706195e-01	5.849453e+00	2.628218e+00	1.319250e+00	1.039018e-01	8.311737e+00	
1.443840e+01	8.500000e+02	3.300000e+01	2.978250e-01	8.025677e+00	6.004730e+00	5.061096e+00	5.706195e-01	5.849453e+00	2.628218e+00	1.319250e+00	1.039018e-01	8.311737e+00	
1.483466e+01	8.750000e+02	3.400000e+01	2.978250e-01	8.025677e+00	6.004730e+00	5.061096e+00	5.706195e-01	5.849453e+00	2.628218e+00	1.319250e+00	1.039018e-01	8.311737e+00	
1.513334e+01	9.000000e+02	3.500000e+01	2.978250e-01	8.025677e+00	6.004730e+00	5.061096e+00	5.706195e-01	5.849453e+00	2.628218e+00	1.319250e+00	1.039018e-01	8.311737e+00	
1.556669e+01	9.250000e+02	3.600000e+01	2.978250e-01	8.025677e+00	6.004730e+00	5.061096e+00	5.706195e-01	5.849453e+00	2.628218e+00	1.319250e+00	1.039018e-01	8.311737e+00	
1.597131e+01	9.500000e+02	3.700000e+01	2.978250e-01	8.025677e+00	6.004730e+00	5.061096e+00	5.706195e-01	5.849453e+00	2.628218e+00	1.319250e+00	1.039018e-01	8.311737e+00	
1.632596e+01	9.750000e+02	3.800000e+01	2.978250e-01	8.025677e+00	6.004730e+00	5.061096e+00	5.706195e-01	5.849453e+00	2.628218e+00	1.319250e+00	1.039018e-01	8.311737e+00	
1.669103e+01	1.000000e+03	3.900000e+01	2.978250e-01	8.025677e+00	6.004730e+00	5.061096e+00	5.706195e-01	5.849453e+00	2.628218e+00	1.319250e+00	1.039018e-01	8.311737e+00	
1.709062e+01	1.025000e+03	4.000000e+01	2.978250e-01	8.025677e+00	6.004730e+00	5.061096e+00	5.706195e-01	5.849453e+00	2.628218e+00	1.319250e+00	1.039018e-01	8.311737e+00	
1.752247e+01	1.050000e+03	4.100000e+01	2.978250e-01	8.025677e+00	6.004730e+00	5.061096e+00	5.706195e-01	5.849453e+00	2.628218e+00	1.319250e+00	1.039018e-01	8.311737e+00	
1.784696e+01	1.075000e+03	4.200000e+01	2.978250e-01	8.025677e+00	6.004730e+00	5.061096e+00	5.706195e-01	5.849453e+00	2.628218e+00	1.319250e+00	1.039018e-01	8.311737e+00	
1.826868e+01	1.100000e+03	4.300000e+01	2.978250e-01	8.025677e+00	6.004730e+00	5.061096e+00	5.706195e-01	5.849453e+00	2.628218e+00	1.319250e+00	1.039018e-01	8.311737e+00	
1.859223e+01	1.125000e+03	4.400000e+01	2.978250e-01	8.025677e+00	6.004730e+00	5.061096e+00	5.706195e-01	5.849453e+00	2.628218e+00	1.319250e+00	1.039018e-01	8.311737e+00	
