f	x(1)	x(2)	x(3)	x(4)	x(5)	x(6)	x(7)	
1.353249e-05	2.574793e-01	3.820449e-01	1.375191e+00	1.421396e+00	1.683799e+00	1.730385e+00	8.523907e-01	
2.817280e-05	3.608135e-01	2.816474e-01	1.165582e+00	9.974038e-01	1.593657e+00	1.369982e+00	7.193025e-01	
3.275860e-05	3.941567e-01	2.466819e-01	1.381149e+00	1.303840e+00	1.701910e+00	1.588710e+00	8.766253e-01	
3.355866e-05	2.861954e-01	3.609553e-01	1.187412e+00	1.139696e+00	1.466371e+00	1.419889e+00	7.913197e-01	
4.425945e-05	3.166830e-01	3.121314e-01	1.186909e+00	1.187365e+00	1.488113e+00	1.533453e+00	8.061423e-01	
5.137771e-05	3.492512e-01	2.815028e-01	1.452588e+00	1.272276e+00	1.817415e+00	1.629772e+00	8.261645e-01	
6.769033e-05	3.552696e-01	2.849641e-01	1.052593e+00	1.194149e+00	1.361976e+00	1.501098e+00	7.763205e-01	
7.189677e-05	3.697848e-01	2.715711e-01	1.340238e+00	1.220651e+00	1.612252e+00	1.458812e+00	8.668050e-01	
7.558286e-05	2.999271e-01	3.590195e-01	1.087687e+00	1.004525e+00	1.575731e+00	1.435066e+00	6.307741e-01	
8.305080e-05	3.541839e-01	2.891219e-01	1.151213e+00	1.252356e+00	1.490765e+00	1.607803e+00	7.823622e-01	
8.814598e-05	3.433147e-01	2.750991e-01	1.170515e+00	1.253830e+00	1.598849e+00	1.672355e+00	8.091841e-01	
1.022566e-04	3.153212e-01	3.293466e-01	1.346476e+00	9.467621e-01	1.591413e+00	1.113782e+00	8.315152e-01	
1.126932e-04	3.718559e-01	2.571475e-01	1.182860e+00	1.247709e+00	1.584303e+00	1.768649e+00	7.805402e-01	
1.217252e-04	3.436853e-01	2.610751e-01	1.038301e+00	1.474300e+00	1.365370e+00	1.983180e+00	8.728286e-01	
1.337659e-04	4.031875e-01	2.671861e-01	1.153121e+00	8.690118e-01	1.534624e+00	1.156736e+00	6.883879e-01	
1.358689e-04	3.212995e-01	3.119628e-01	1.374683e+00	1.403964e+00	1.701048e+00	1.679385e+00	8.613970e-01	
1.394084e-04	3.009050e-01	3.506163e-01	1.265529e+00	1.113098e+00	1.498719e+00	1.247904e+00	8.402285e-01	
