f	x(1)	x(2)	x(3)	x(4)	x(5)	x(6)	x(7)	
9.166229e-06	1.000000e-01	1.013821e+00	3.474068e+00	6.104509e-01	3.682110e+00	5.609199e-01	1.000000e+00	
1.165130e-05	1.000000e-01	1.004497e+00	3.624306e+00	7.349708e-01	3.866455e+00	7.079457e-01	1.000000e+00	
1.168130e-05	1.000000e-01	1.006803e+00	4.701300e+00	5.887738e-01	5.030922e+00	5.399468e-01	1.000000e+00	
2.014960e-05	1.000000e-01	9.725829e-01	4.967097e+00	6.945766e-01	5.526426e+00	6.905547e-01	1.000000e+00	
2.237004e-05	1.000000e-01	1.014740e+00	4.073708e+00	5.972078e-01	4.375271e+00	5.439834e-01	1.000000e+00	
2.246138e-05	1.000000e-01	1.024204e+00	3.085745e+00	6.634996e-01	3.250433e+00	6.135834e-01	1.000000e+00	
2.373975e-05	1.000000e-01	1.030411e+00	4.327325e+00	5.919092e-01	4.523268e+00	5.205282e-01	1.000000e+00	
2.433907e-05	1.000000e-01	1.028399e+00	3.823711e+00	4.184125e-01	4.003108e+00	3.460685e-01	1.000000e+00	
2.453474e-05	1.000000e-01	1.014301e+00	3.254680e+00	6.811595e-01	3.472256e+00	6.295217e-01	1.000000e+00	
2.896447e-05	1.000000e-01	9.911146e-01	4.302326e+00	5.611485e-01	4.741937e+00	5.230112e-01	1.000000e+00	
3.066427e-05	1.000000e-01	1.063002e+00	3.272138e+00	4.279771e-01	3.291934e+00	3.401232e-01	1.000000e+00	
3.104384e-05	1.000000e-01	1.056640e+00	3.530412e+00	5.560370e-01	3.607028e+00	4.729012e-01	1.000000e+00	
3.844551e-05	1.000000e-01	1.082717e+00	3.324318e+00	4.706082e-01	3.273932e+00	3.698591e-01	1.000000e+00	
3.886839e-05	1.000000e-01	1.068750e+00	3.943630e+00	6.218069e-01	3.955752e+00	5.336017e-01	1.000000e+00	
4.039595e-05	1.000000e-01	9.824247e-01	4.163090e+00	7.934520e-01	4.614280e+00	8.051909e-01	1.000000e+00	
4.051780e-05	1.000000e-01	9.915257e-01	4.321273e+00	5.994148e-01	4.645210e+00	5.567989e-01	1.000000e+00	
4.226050e-05	1.000000e-01	1.065285e+00	3.797105e+00	5.616475e-01	3.856333e+00	4.696717e-01	1.000000e+00	
4.346686e-05	1.000000e-01	1.036198e+00	4.564502e+00	4.940554e-01	4.744827e+00	4.116806e-01	1.000000e+00	
4.490656e-05	1.000000e-01	1.035902e+00	4.020166e+00	5.650089e-01	4.110892e+00	5.000147e-01	1.000000e+00	
4.547253e-05	1.000000e-01	1.044936e+00	3.571806e+00	5.524792e-01	3.658091e+00	4.664394e-01	1.000000e+00	
5.217801e-05	1.000000e-01	1.002881e+00	3.873757e+00	7.023477e-01	4.131828e+00	6.520519e-01	1.000000e+00	
5.262171e-05	1.000000e-01	1.050391e+00	4.172416e+00	5.170616e-01	4.304983e+00	4.276481e-01	1.000000e+00	
5.716499e-05	1.000000e-01	1.059031e+00	4.138928e+00	6.019336e-01	4.246728e+00	5.262728e-01	1.000000e+00	
5.842170e-05	1.000000e-01	1.039568e+00	4.083820e+00	6.045961e-01	4.160379e+00	5.420551e-01	1.000000e+00	
6.253795e-05	1.000000e-01	1.020747e+00	3.485491e+00	8.173534e-01	3.589987e+00	7.635605e-01	1.000000e+00	
6.754581e-05	1.000000e-01	1.030496e+00	3.930626e+00	6.244874e-01	4.045992e+00	5.480981e-01	1.000000e+00	
6.890983e-05	1.000000e-01	1.061587e+00	4.788766e+00	7.003971e-01	4.910016e+00	6.287060e-01	1.000000e+00	
6.920116e-05	1.000000e-01	1.037320e+00	3.813905e+00	5.734838e-01	3.852761e+00	5.006954e-01	1.000000e+00	
7.248046e-05	1.000000e-01	9.948877e-01	3.331175e+00	6.240185e-01	3.613492e+00	5.726192e-01	1.000000e+00	
7.480747e-05	1.000000e-01	9.879717e-01	4.130519e+00	5.630790e-01	4.408865e+00	5.196360e-01	1.000000e+00	
7.497987e-05	1.000000e-01	1.036092e+00	4.720541e+00	4.857652e-01	4.794994e+00	4.076267e-01	1.000000e+00	
7.588917e-05	1.000000e-01	1.002408e+00	3.608126e+00	5.615399e-01	3.777536e+00	5.062047e-01	1.000000e+00	
7.882353e-05	1.000000e-01	9.546629e-01	2.815364e+00	5.321904e-01	3.205739e+00	5.148834e-01	1.000000e+00	
8.304566e-05	1.000000e-01	1.095300e+00	3.487980e+00	5.310451e-01	3.438183e+00	4.188742e-01	1.000000e+00	
8.309264e-05	1.000000e-01	1.042669e+00	4.072980e+00	7.754484e-01	4.310454e+00	7.146390e-01	1.000000e+00	
8.835482e-05	1.000000e-01	1.083713e+00	3.711795e+00	5.022758e-01	3.627821e+00	3.923422e-01	1.000000e+00	
8.880477e-05	1.000000e-01	1.042108e+00	3.200307e+00	4.813079e-01	3.346818e+00	3.956334e-01	1.000000e+00	
9.076933e-05	1.000000e-01	9.504622e-01	4.219116e+00	5.849235e-01	4.744839e+00	5.697054e-01	1.000000e+00	
9.391761e-05	1.000000e-01	9.800997e-01	3.664703e+00	6.581779e-01	3.933744e+00	6.253614e-01	1.000000e+00	
9.450611e-05	1.000000e-01	1.076004e+00	4.726213e+00	5.192016e-01	4.663471e+00	4.319934e-01	1.000000e+00	
1.084183e-04	1.000000e-01	1.075963e+00	4.365798e+00	4.846530e-01	4.259756e+00	3.803657e-01	1.000000e+00	
1.127683e-04	1.000000e-01	1.054161e+00	4.158364e+00	7.113758e-01	4.122501e+00	6.385058e-01	1.000000e+00	
1.137233e-04	1.000000e-01	1.105611e+00	3.679483e+00	7.223869e-01	3.504908e+00	6.025093e-01	1.000000e+00	
1.202032e-04	1.000000e-01	1.047565e+00	4.063695e+00	5.145449e-01	4.238010e+00	4.494661e-01	1.000000e+00	
1.245994e-04	1.000000e-01	1.045402e+00	4.623379e+00	5.747603e-01	4.864410e+00	4.844428e-01	1.000000e+00	
1.392283e-04	1.000000e-01	1.018255e+00	4.113376e+00	6.859921e-01	4.495346e+00	6.257838e-01	1.000000e+00	
1.460032e-04	1.000000e-01	9.498198e-01	4.376313e+00	4.387498e-01	5.076420e+00	4.035508e-01	1.000000e+00	
1.591587e-04	1.000000e-01	1.089101e+00	3.019216e+00	3.903426e-01	2.916129e+00	2.760209e-01	1.000000e+00	
1.897409e-04	1.000000e-01	9.609023e-01	3.883831e+00	7.707491e-01	4.242366e+00	8.132332e-01	1.000000e+00	
2.193005e-04	1.000000e-01	1.036638e+00	3.148427e+00	6.099137e-01	3.390787e+00	5.362461e-01	1.000000e+00	
