observableId	simulationConditionId	measurement	time
X1	normal_simulation	0	0
X1	normal_simulation	0.064485063	1
X1	normal_simulation	0.090888764	2
X1	normal_simulation	0.102250309	3
X1	normal_simulation	0.107235215	4
X1	normal_simulation	0.109406623	5
X1	normal_simulation	0.110365043	6
X1	normal_simulation	0.110786853	7
X1	normal_simulation	0.110970383	8
X1	normal_simulation	0.111050028	9
X1	normal_simulation	0.11108463	10
X2	normal_simulation	0	0
X2	normal_simulation	0.025592125	1
X2	normal_simulation	0.058378583	2
X2	normal_simulation	0.081147069	3
X2	normal_simulation	0.094886024	4
X2	normal_simulation	0.1025948	5
X2	normal_simulation	0.106758366	6
X2	normal_simulation	0.108937286	7
X2	normal_simulation	0.110043733	8
X2	normal_simulation	0.110593817	9
X2	normal_simulation	0.1108633	10
