[Name]
Brabra

[Notes]
Brabra

[Components]
time,A,B,C,D,E

[Componentnotes]
A: Brabra
B: Brabra
C: Brabra
D: Brabra
E: Brabra

[Values]
0,2.46246,2.71231,1.844,2.74225,0.725579
1,2.368688099,2.629483457,1.780913408,2.669978752,0.7516267
2,2.300232379,2.568916281,1.720424482,2.599500719,0.821289325
3,2.260947313,2.533967175,1.66693229,2.535942674,0.926981594
4,2.252157276,2.52578887,1.62385204,2.483384416,1.060406485
5,2.273645603,2.544202159,1.594104691,2.445408191,1.21233553
6,2.323406263,2.587486162,1.57959005,2.424479885,1.373426504
7,2.397851845,2.652555491,1.581098229,2.421826511,1.534348375
8,2.492208076,2.735288049,1.598387886,2.437492312,1.685924195
9,2.600604268,2.830588711,1.630236653,2.470379356,1.819031326
10,2.716331684,2.932592515,1.674627579,2.518434855,1.924679109
11,2.831569443,3.034420488,1.728511784,2.578373977,1.994055033
12,2.93836674,3.129035536,1.788409081,2.646344202,2.020273601
13,3.028013534,3.208692803,1.850023007,2.717498232,1.997234237
14,3.093124057,3.266790456,1.908963321,2.786770416,1.924483532
15,3.126948548,3.297271588,1.96053098,2.848666122,1.804530795
16,3.125743431,3.296759227,2.000507834,2.898142799,1.64656485
17,3.088845432,3.264629829,2.02554298,2.93109604,1.462914974
18,3.018153221,3.20253544,2.032983036,2.944154492,1.269613876
19,2.919534562,3.115671531,2.021980588,2.935995276,1.084009008
20,2.801491145,3.011566093,1.993487453,2.907368274,0.922658157
21,2.673823809,2.898902128,1.949457529,2.860189823,0.800777597
22,2.54792069,2.78776691,1.89343317,2.798240513,0.730432185
23,2.434802383,2.687901086,1.83035998,2.727012726,0.715418741
24,2.343502355,2.607253722,1.76572759,2.652727234,0.752543193
25,2.280068938,2.551109835,1.704753708,2.581393084,0.834363343
26,2.247674665,2.522217853,1.652024016,2.518391244,0.95147107
27,2.246601541,2.520817925,1.610947077,2.467851983,1.094028125
28,2.276295395,2.546435256,1.584377792,2.433295984,1.252395799
29,2.333931141,2.596643575,1.573749846,2.41667949,1.417259656
30,2.415427964,2.667928858,1.579409632,2.418721755,1.579438625
31,2.515977345,2.756137372,1.601112225,2.43946255,1.72974837
32,2.629134301,2.855675071,1.637190547,2.477300389,1.859020916
33,2.747484111,2.960041253,1.685035268,2.529485809,1.958076403
34,2.863735316,3.062822394,1.7420207,2.593217713,2.018666128
35,2.969052721,3.156183951,1.803998735,2.663860456,2.033267776
36,3.055084452,3.232698329,1.866703726,2.736584946,1.997169021
37,3.113948442,3.285303118,1.92542288,2.80593454,1.909894467
38,3.140196857,3.30910916,1.975680042,2.866634938,1.776981061
39,3.129903194,3.30056516,2.013096834,2.913445878,1.607394872
40,3.083053963,3.259626604,2.034290836,2.942193511,1.415664151
41,3.003032564,3.189272862,2.037367261,2.950377598,1.217664208
42,2.896191557,3.09512617,2.021489405,2.936659575,1.032341372
43,2.771386042,2.985031513,1.987744117,2.901942483,0.876319287
44,2.640295878,2.869341141,1.93921065,2.849433277,0.764666385
45,2.514085135,2.757939047,1.879564993,2.783081905,0.707823198
46,2.403703769,2.660492864,1.814255997,2.708989061,0.707047601
47,2.317459191,2.584298089,1.748763988,2.633387971,0.757710764
48,2.26073011,2.534043253,1.688278282,2.562280446,0.851469733
49,2.235941412,2.511822269,1.637221553,2.500890391,0.978423517
50,2.243221974,2.517741555,1.599010403,2.453366469,1.128524644
51,2.280916243,2.550379672,1.575909252,2.422590094,1.292148698
52,2.346296374,2.607392705,1.569397445,2.410565551,1.459822633
53,2.43481836,2.684871202,1.579589145,2.41776548,1.622342857
54,2.540880698,2.777975347,1.605571254,2.443472168,1.770524244
55,2.657825414,2.880905689,1.645454242,2.485807907,1.89501754
56,2.778564863,2.987446166,1.696945936,2.54238668,1.986806491
57,2.894583681,3.090093539,1.756446265,2.609277709,2.036896265
58,2.997770466,3.181637495,1.820148616,2.682203329,2.039788636
59,3.078985125,3.253938276,1.883305194,2.755772422,1.989904355
60,3.131178679,3.300676956,1.94129718,2.824604608,1.889245736
61,3.148482662,3.316574458,1.989378214,2.883098685,1.743234388
62,3.128410853,3.299373813,2.02344736,2.926298936,1.563822502
63,3.071937706,3.249911968,2.040514992,2.950472831,1.36572925
64,2.982958763,3.17162165,2.038661932,2.953063262,1.166542839
65,2.869175666,3.071327728,2.017852228,2.933656749,0.984647085
66,2.740127286,2.957478459,1.979639307,2.893690609,0.836659177
67,2.607207824,2.840170233,1.927065274,2.836337181,0.736846317
68,2.48240514,2.730014308,1.864632166,2.766514024,0.693926141
69,2.376151758,2.636210721,1.797917164,2.690493891,0.707134729
70,2.296033952,2.565407396,1.732411519,2.614548601,0.770401699
71,2.246658342,2.521607237,1.673210488,2.5445991,0.874602477
72,2.229569821,2.50613886,1.624427505,2.485546417,1.009648229
73,2.24475776,2.518991599,1.589384898,2.441437312,1.16556053
74,2.289975481,2.558237184,1.570006798,2.414783043,1.332753493
75,2.362129235,2.62121716,1.567476676,2.407255335,1.501773111
76,2.456512057,2.703878637,1.581786844,2.419187602,1.663345122
77,2.56713006,2.801037788,1.611728576,2.449525013,1.80820805
78,2.686921756,2.9065289,1.655083694,2.496000416,1.926909993
79,2.808743386,3.014087771,1.70952233,2.556185924,2.010500796
80,2.923776988,3.115919837,1.771140401,2.625769978,2.050342372
81,3.023726374,3.204659881,1.83593167,2.700250937,2.040910682
82,3.099854087,3.272502772,1.899151033,2.774194517,1.978581534
83,3.144819794,3.312873532,1.955933441,2.841938709,1.864878582
84,3.153434405,3.321090088,2.001598262,2.897921088,1.707531793
85,3.124115048,3.295706085,2.032250995,2.93740524,1.519608171
86,3.058452333,3.238101974,2.045094578,2.95686135,1.31666574
87,2.961389138,3.152648377,2.038517634,2.954068171,1.117401991
88,2.841284925,3.046752837,2.012909163,2.929101192,0.939987548
89,2.708733486,2.929800552,1.970577603,2.884272437,0.800356898
90,2.574805603,2.811600134,1.914318329,2.822467277,0.712916897
91,2.452560942,2.703702934,1.84983473,2.750010852,0.68334521
92,2.351078839,2.614099187,1.782469419,2.672942526,0.708824653
93,2.277236808,2.548802532,1.71774413,2.597597356,0.782071786
94,2.23446844,2.510790676,1.660112189,2.529181122,0.894424426
95,2.224399539,2.501466557,1.61378637,2.472714706,1.035590007
96,2.246225787,2.520138368,1.581660842,2.431782066,1.195670051
97,2.297792355,2.56495757,1.565613299,2.408832466,1.365332828
98,2.375336756,2.632693312,1.566377066,2.405041555,1.535205598
99,2.474143672,2.719279471,1.583849872,2.420623883,1.695889655
100,2.588237991,2.819541123,1.616872991,2.454576852,1.837945794
101,2.71045155,2.927225778,1.663194228,2.504604612,1.951849824
102,2.832707859,3.035227038,1.719721275,2.567381128,2.028294817
103,2.946877617,3.136351231,1.782975943,2.639066165,2.060030418
104,3.043631636,3.222305238,1.848406714,2.714533789,2.039796195
105,3.115041598,3.286003339,1.911406,2.788476287,1.96664582
106,3.153704991,3.320803719,1.966969977,2.85505208,1.842648344
107,3.155340946,3.322846803,2.010546834,2.908829523,1.677271278
108,3.118944488,3.291201415,2.038488336,2.945351614,1.48333504
109,3.046217011,3.227341299,2.047828962,2.960870158,1.277865565
110,2.943200161,3.136616866,2.037553828,2.953849657,1.079272735
111,2.818830451,3.026943185,2.008551825,2.924943894,0.905482971
112,2.683506438,2.907535753,1.962773194,2.876039045,0.773211977
113,2.549529748,2.789294554,1.904022909,2.81119661,0.69564972
114,2.428698377,2.682650071,1.837480888,2.73615952,0.677216227
115,2.330716209,2.596139591,1.768998483,2.657553294,0.714226976
116,2.262003083,2.535364919,1.704132697,2.581771661,0.798448905
117,2.225870451,2.503184767,1.647763877,2.514535479,0.919773362
118,2.222498544,2.499746361,1.603459988,2.4601702,1.067930248
119,2.251459759,2.524682223,1.574299507,2.422457756,1.232912631
120,2.309995924,2.575625314,1.561939375,2.403621974,1.405098227
121,2.393639273,2.648737377,1.56659679,2.404261063,1.575164598
122,2.497527166,2.739821555,1.588056197,2.424458541,1.733670488
123,2.615202765,2.843283262,1.624748506,2.462742948,1.871238874
124,2.739180961,2.952578139,1.674124057,2.516461155,1.978264873
125,2.861596786,3.060770105,1.733194202,2.58238307,2.046115419
126,2.973371327,3.159836611,1.797875861,2.655995897,2.065940639
127,3.066013868,3.242205348,1.863824182,2.732355272,2.033718414
128,3.130898917,3.300162375,1.926059464,2.805725501,1.947291919
129,3.161856861,3.328162632,1.979799652,2.870475092,1.812085656
130,3.155006405,3.322702621,2.02060906,2.921299748,1.637252453
131,3.109415295,3.282907983,2.044629148,2.953470688,1.437382075
132,3.028541442,3.211829261,2.049750625,2.964226577,1.229362034
133,2.918472217,3.114851001,2.034774229,2.951794791,1.033135093
134,2.789089626,3.000734387,2.000947574,2.917232632,0.867014905
135,2.652025827,2.879787427,1.951159292,2.863515098,0.746895359
136,2.519603562,2.762922925,1.889736598,2.795334814,0.683273245
137,2.403054847,2.660060777,1.821980381,2.71859984,0.678553122
138,2.311240689,2.578983652,1.753601643,2.639795878,0.727912997
139,2.249869018,2.524659426,1.690096083,2.565271738,0.822181641
140,2.221540603,2.499321418,1.636186458,2.500592778,0.950836445
141,2.226355485,2.503042993,1.595468932,2.450118788,1.103614552
142,2.262297472,2.534099975,1.570055873,2.416577805,1.270972822
143,2.326751365,2.590250631,1.561533326,2.40210097,1.443363837
144,2.415483598,2.667861906,1.570207813,2.407382623,1.61150471
145,2.522965335,2.76216296,1.595269084,2.431832304,1.766089865
146,2.642451334,2.867282006,1.634842408,2.473600016,1.897573913
147,2.766655709,2.976841051,1.686570859,2.530245926,1.996521503
148,2.887398976,3.083632143,1.747195299,2.598233883,2.054177855
149,2.995865127,3.179822443,1.812565872,2.672906132,2.063718436
150,3.082897306,3.257264918,1.878045744,2.749015416,2.019102841
151,3.140736965,3.309003625,1.938788417,2.820929855,1.92142938
152,3.163577407,3.329824572,1.990040066,2.883046961,1.776256819
153,3.147796644,3.31644645,2.02728021,2.929935716,1.594468776
154,3.094058529,3.269430828,2.047241749,2.957537664,1.391422666
155,3.006018072,3.19199393,2.047893124,2.963166981,1.184503372
156,2.891140114,3.090750618,2.0288003,2.945932676,0.993363098
157,2.758929758,2.974120995,1.99127961,2.906986063,0.835451498
158,2.621759112,2.853070683,1.938900981,2.850100793,0.725263175
159,2.491202981,2.737848943,1.875320066,2.779183649,0.674292521
160,2.378848404,2.638682376,1.806595748,2.701045231,0.682135352
161,2.292882953,2.56274651,1.738542842,2.622319526,0.742296125
162,2.238247947,2.514331759,1.676473447,2.549167662,0.845386855
163,2.216847751,2.495072804,1.624772769,2.486792816,0.981052455
164,2.228527075,2.504830128,1.586831902,2.439330662,1.139047102
165,2.271236107,2.541845527,1.564752238,2.409494722,1.309606307
166,2.342195847,2.603732485,1.560056232,2.39934683,1.483067311
167,2.436493922,2.686269467,1.572662625,2.409153474,1.65012985
168,2.548047932,2.784196582,1.601314169,2.437807999,1.801384276
