f	x(1)	x(2)	x(3)	x(4)	x(5)	x(6)	x(7)	x(8)	x(9)	
2.940836e-03	1.634206e+00	6.499289e-01	3.703568e+00	2.067328e+00	4.295972e-01	7.400945e-01	5.508352e-01	5.724322e-01	7.584421e+00	
4.496431e-03	1.029517e+00	5.202125e-01	4.467513e+00	2.131624e+00	5.146145e-01	6.413175e-01	7.719805e-01	6.208186e-01	5.895787e+00	
4.672570e-03	1.471628e+00	7.023197e-01	3.507121e+00	1.773750e+00	4.880098e-01	9.120219e-01	1.089969e+00	6.055594e-01	8.581767e+00	
4.801682e-03	1.225481e+00	6.036669e-01	4.515393e+00	2.060217e+00	4.625073e-01	8.360295e-01	9.564592e-01	6.254805e-01	7.646873e+00	
4.997885e-03	1.755767e+00	6.576827e-01	3.388795e+00	2.147422e+00	3.989955e-01	9.270885e-01	1.376892e+00	6.415580e-01	8.012357e+00	
5.463192e-03	2.045682e+00	7.271682e-01	3.824633e+00	1.793913e+00	4.785075e-01	1.132842e+00	1.359258e+00	6.603065e-01	8.564194e+00	
7.904383e-03	1.191288e+00	7.059750e-01	4.591960e+00	1.677430e+00	5.709645e-01	1.135892e+00	1.464855e+00	6.602866e-01	8.082428e+00	
8.232995e-03	1.644051e+00	7.918699e-01	3.365669e+00	1.603921e+00	4.457860e-01	1.282995e+00	1.886162e+00	6.678061e-01	9.457272e+00	
8.356584e-03	1.470208e+00	6.580907e-01	3.930457e+00	1.899148e+00	4.851515e-01	9.323443e-01	1.112740e+00	5.924025e-01	7.736031e+00	
8.603316e-03	1.397447e+00	5.925638e-01	4.437100e+00	1.986280e+00	4.707580e-01	9.335523e-01	1.298063e+00	6.468714e-01	7.031613e+00	
8.849360e-03	1.072417e+00	7.710890e-01	3.943650e+00	1.516056e+00	5.916537e-01	1.184708e+00	1.179287e+00	6.440022e-01	9.190016e+00	
9.459532e-03	7.015112e-01	8.042811e-01	4.384933e+00	1.417515e+00	6.246205e-01	1.255337e+00	1.209064e+00	6.633876e-01	9.960844e+00	
9.542594e-03	1.593009e+00	6.375598e-01	4.097685e+00	1.753106e+00	5.158367e-01	8.574675e-01	8.411280e-01	6.326042e-01	7.396798e+00	
1.053498e-02	1.594195e+00	7.773095e-01	3.679212e+00	1.596138e+00	5.362187e-01	1.054229e+00	1.665926e+00	5.984850e-01	8.977070e+00	
1.071746e-02	1.638855e+00	6.891478e-01	3.655206e+00	1.845158e+00	5.047269e-01	1.071991e+00	1.675389e+00	6.536409e-01	8.143486e+00	
1.099431e-02	2.056795e+00	7.865098e-01	2.679495e+00	1.746934e+00	4.083832e-01	1.104915e+00	1.610464e+00	6.329229e-01	8.047881e+00	
1.134546e-02	1.684201e+00	6.143263e-01	3.503048e+00	2.200425e+00	3.608015e-01	7.422904e-01	1.139976e+00	5.921535e-01	6.667617e+00	
1.136273e-02	1.269958e+00	5.608084e-01	4.032694e+00	2.065403e+00	4.064607e-01	8.494452e-01	9.416839e-01	6.404381e-01	7.265488e+00	
1.503010e-02	1.618500e+00	6.259816e-01	3.598945e+00	2.361997e+00	4.688793e-01	9.092975e-01	1.234120e+00	6.033775e-01	6.830106e+00	
1.998012e-02	1.201789e+00	6.806200e-01	3.347571e+00	1.871583e+00	3.447282e-01	1.047020e+00	2.006587e+00	6.911351e-01	8.349512e+00	
