Time	NEval	Generation	f	S4	S0	J1_Vmax	J1_n	J1_K	J2_J2_k	J3_J3_k	J0_J0_k	compart	
2.420540e-01	5.000000e+01	1.000000e+00	1.138555e+00	1.840102e+00	7.879292e+00	6.120312e+00	5.390927e-01	4.201937e+00	6.790688e+00	9.186018e+00	4.020249e-03	9.767591e+00	
5.218705e-01	7.500000e+01	2.000000e+00	9.947489e-01	5.092910e+00	1.348597e-02	4.985826e+00	7.799457e+00	8.349093e+00	1.693832e-01	1.697266e+00	3.488229e+00	5.680251e+00	
7.990902e-01	1.000000e+02	3.000000e+00	9.935833e-01	8.362903e+00	9.209506e+00	1.537041e+00	5.563076e+00	8.131353e+00	3.904033e+00	7.249264e+00	9.525982e-03	6.507145e+00	
1.058382e+00	1.250000e+02	4.000000e+00	9.935833e-01	8.362903e+00	9.209506e+00	1.537041e+00	5.563076e+00	8.131353e+00	3.904033e+00	7.249264e+00	9.525982e-03	6.507145e+00	
1.188353e+00	1.500000e+02	5.000000e+00	9.935833e-01	8.362903e+00	9.209506e+00	1.537041e+00	5.563076e+00	8.131353e+00	3.904033e+00	7.249264e+00	9.525982e-03	6.507145e+00	
1.329496e+00	1.750000e+02	6.000000e+00	9.935833e-01	8.362903e+00	9.209506e+00	1.537041e+00	5.563076e+00	8.131353e+00	3.904033e+00	7.249264e+00	9.525982e-03	6.507145e+00	
1.459736e+00	2.000000e+02	7.000000e+00	2.649436e-01	4.355538e+00	1.495436e-01	5.668365e+00	4.593494e+00	2.044830e-01	2.958112e+00	2.814639e+00	5.003284e+00	5.636888e+00	
1.741382e+00	2.250000e+02	8.000000e+00	2.649436e-01	4.355538e+00	1.495436e-01	5.668365e+00	4.593494e+00	2.044830e-01	2.958112e+00	2.814639e+00	5.003284e+00	5.636888e+00	
1.874810e+00	2.500000e+02	9.000000e+00	2.649436e-01	4.355538e+00	1.495436e-01	5.668365e+00	4.593494e+00	2.044830e-01	2.958112e+00	2.814639e+00	5.003284e+00	5.636888e+00	
2.007657e+00	2.750000e+02	1.000000e+01	2.649436e-01	4.355538e+00	1.495436e-01	5.668365e+00	4.593494e+00	2.044830e-01	2.958112e+00	2.814639e+00	5.003284e+00	5.636888e+00	
2.150322e+00	3.000000e+02	1.100000e+01	2.649436e-01	4.355538e+00	1.495436e-01	5.668365e+00	4.593494e+00	2.044830e-01	2.958112e+00	2.814639e+00	5.003284e+00	5.636888e+00	
2.291467e+00	3.250000e+02	1.200000e+01	2.649436e-01	4.355538e+00	1.495436e-01	5.668365e+00	4.593494e+00	2.044830e-01	2.958112e+00	2.814639e+00	5.003284e+00	5.636888e+00	
